fecha,magnitudVibracion,corriente,tiempo,operador
24/11/2025,1.74,0.52,1.18,Porfirio Diaz
24/11/2025,1.74,0.51,1.43,Porfirio Diaz
24/11/2025,1.77,0.52,1.52,Porfirio Diaz
24/11/2025,1.76,0.54,2.20,Porfirio Diaz
24/11/2025,1.75,0.62,2.81,Porfirio Diaz
24/11/2025,1.74,0.8,3.12,Porfirio Diaz
24/11/2025,1.79,0.92,3.45,Porfirio Diaz
24/11/2025,1.75,1,3.94,Porfirio Diaz
24/11/2025,1.74,1.05,4.66,Porfirio Diaz
24/11/2025,1.74,1.09,5.13,Porfirio Diaz
24/11/2025,1.77,1.11,5.78,Porfirio Diaz
24/11/2025,1.74,1.13,6.09,Porfirio Diaz
24/11/2025,1.74,1.14,6.75,Porfirio Diaz
24/11/2025,1.77,1.15,7.07,Porfirio Diaz
24/11/2025,1.74,1.15,7.93,Porfirio Diaz
24/11/2025,1.75,1.14,8.33,Porfirio Diaz
24/11/2025,1.78,1.12,8.86,Porfirio Diaz
24/11/2025,1.69,1.1,9.16,Porfirio Diaz
24/11/2025,1.79,1.08,9.78,Porfirio Diaz
24/11/2025,1.73,1.06,9.89,Porfirio Diaz
24/11/2025,1.74,1.02,10.35,Porfirio Diaz
24/11/2025,1.79,0.98,11.82,Porfirio Diaz
24/11/2025,1.81,0.97,12.75,Porfirio Diaz
24/11/2025,1.73,0.98,13.36,Porfirio Diaz
24/11/2025,1.62,0.98,13.37,Porfirio Diaz
24/11/2025,1.7,0.89,13.62,Porfirio Diaz
24/11/2025,1.77,1.21,14.69,Porfirio Diaz
24/11/2025,1.73,1.31,14.69,Porfirio Diaz
24/11/2025,1.96,1.4,15.61,Porfirio Diaz
24/11/2025,1.55,1.71,16.35,Porfirio Diaz
24/11/2025,1.68,2.04,16.67,Porfirio Diaz
24/11/2025,1.93,2.32,16.67,Porfirio Diaz
24/11/2025,1.87,2.53,17.28,Porfirio Diaz
24/11/2025,1.92,2.7,17.66,Porfirio Diaz
24/11/2025,1.73,2.89,18.38,Porfirio Diaz
24/11/2025,1.86,3.17,19.30,Porfirio Diaz
24/11/2025,1.83,3.65,19.55,Porfirio Diaz
24/11/2025,1.94,4.29,20.73,Porfirio Diaz
24/11/2025,1.84,4.5,21.36,Porfirio Diaz
24/11/2025,1.62,4.64,21.76,Porfirio Diaz
24/11/2025,1.97,4.75,21.76,Porfirio Diaz
24/11/2025,1.85,4.83,22.68,Porfirio Diaz
24/11/2025,1.58,4.87,22.99,Porfirio Diaz
24/11/2025,2.02,4.9,23.40,Porfirio Diaz
24/11/2025,1.81,4.9,23.81,Porfirio Diaz
24/11/2025,1.62,4.92,24.11,Porfirio Diaz
24/11/2025,1.87,4.93,24.83,Porfirio Diaz
24/11/2025,1.7,4.92,25.21,Porfirio Diaz
24/11/2025,1.77,4.86,25.85,Porfirio Diaz
24/11/2025,1.54,4.79,26.26,Porfirio Diaz
24/11/2025,1.83,4.71,26.57,Porfirio Diaz
24/11/2025,1.79,4.65,27.39,Porfirio Diaz
24/11/2025,1.74,4.6,27.80,Porfirio Diaz
24/11/2025,1.64,4.5,28.11,Porfirio Diaz
24/11/2025,1.61,4.24,28.52,Porfirio Diaz
24/11/2025,1.66,3.15,29.45,Porfirio Diaz
24/11/2025,1.71,2.38,29.85,Porfirio Diaz
24/11/2025,1.9,1.83,30.26,Porfirio Diaz
24/11/2025,1.84,1.45,30.67,Porfirio Diaz
24/11/2025,1.66,1.17,31.62,Porfirio Diaz
24/11/2025,2.03,1.39,32.00,Porfirio Diaz
24/11/2025,1.85,1.56,32.08,Porfirio Diaz
