fecha,magnitudVibracion,corriente,tiempo,operador
24/11/2025,1.73,0.64,0.92,Benito Juarez
24/11/2025,1.76,0.62,1.33,Benito Juarez
24/11/2025,1.75,0.57,2.04,Benito Juarez
24/11/2025,1.77,0.55,2.45,Benito Juarez
24/11/2025,1.74,0.53,3.11,Benito Juarez
24/11/2025,1.74,0.53,4.14,Benito Juarez
24/11/2025,1.75,0.54,4.61,Benito Juarez
24/11/2025,1.77,0.57,5.20,Benito Juarez
24/11/2025,1.74,0.58,6.54,Benito Juarez
24/11/2025,1.75,0.59,6.97,Benito Juarez
24/11/2025,1.74,0.6,6.97,Benito Juarez
24/11/2025,1.74,0.62,7.44,Benito Juarez
24/11/2025,1.76,0.62,7.74,Benito Juarez
24/11/2025,1.74,0.62,8.25,Benito Juarez
24/11/2025,1.74,0.61,8.59,Benito Juarez
24/11/2025,1.74,0.6,9.34,Benito Juarez
24/11/2025,1.75,0.58,10.66,Benito Juarez
24/11/2025,1.75,0.55,11.84,Benito Juarez
24/11/2025,1.74,0.51,11.84,Benito Juarez
24/11/2025,1.75,0.46,12.08,Benito Juarez
24/11/2025,1.75,0.39,12.43,Benito Juarez
24/11/2025,1.74,0.29,13.92,Benito Juarez
24/11/2025,1.74,0.29,13.92,Benito Juarez
24/11/2025,1.75,0.29,14.33,Benito Juarez
24/11/2025,1.75,0.29,14.73,Benito Juarez
24/11/2025,1.74,0.36,16.92,Benito Juarez
24/11/2025,1.73,0.41,17.30,Benito Juarez
24/11/2025,1.74,0.72,17.32,Benito Juarez
24/11/2025,1.73,1,18.30,Benito Juarez
24/11/2025,1.79,1.38,18.31,Benito Juarez
24/11/2025,1.76,1.54,19.01,Benito Juarez
24/11/2025,1.77,1.85,19.14,Benito Juarez
24/11/2025,1.67,2.25,19.86,Benito Juarez
24/11/2025,1.78,2.69,20.16,Benito Juarez
24/11/2025,1.72,3.02,20.88,Benito Juarez
24/11/2025,1.93,3.29,21.23,Benito Juarez
24/11/2025,1.86,3.52,22.01,Benito Juarez
24/11/2025,1.72,3.68,22.43,Benito Juarez
24/11/2025,1.71,3.83,23.08,Benito Juarez
24/11/2025,1.81,3.96,23.46,Benito Juarez
24/11/2025,1.92,4.09,24.11,Benito Juarez
24/11/2025,1.82,4.21,24.57,Benito Juarez
24/11/2025,1.98,4.29,25.00,Benito Juarez
24/11/2025,1.67,4.36,25.28,Benito Juarez
24/11/2025,1.94,4.44,25.70,Benito Juarez
24/11/2025,1.89,4.52,26.30,Benito Juarez
24/11/2025,1.74,4.58,26.98,Benito Juarez
24/11/2025,1.56,4.6,27.18,Benito Juarez
24/11/2025,2.02,4.6,27.93,Benito Juarez
24/11/2025,1.53,4.6,28.17,Benito Juarez
24/11/2025,1.96,4.59,28.77,Benito Juarez
24/11/2025,1.68,4.45,29.37,Benito Juarez
24/11/2025,1.8,4.12,29.59,Benito Juarez
24/11/2025,1.67,3.48,31.21,Benito Juarez
24/11/2025,1.84,3.05,32.30,Benito Juarez
24/11/2025,1.83,2.37,32.95,Benito Juarez
24/11/2025,2.11,2.16,33.21,Benito Juarez
24/11/2025,1.99,2.1,33.92,Benito Juarez
24/11/2025,1.96,2.05,34.41,Benito Juarez
24/11/2025,1.82,1.96,35.01,Benito Juarez
24/11/2025,2.06,1.89,35.37,Benito Juarez
24/11/2025,1.92,1.84,36.34,Benito Juarez
24/11/2025,1.94,1.81,36.97,Benito Juarez
24/11/2025,1.85,1.88,37.13,Benito Juarez
24/11/2025,1.88,2.41,37.69,Benito Juarez
24/11/2025,1.93,2.7,38.31,Benito Juarez
24/11/2025,1.9,2.94,38.59,Benito Juarez
24/11/2025,1.92,3.18,39.41,Benito Juarez
24/11/2025,1.76,3.39,39.57,Benito Juarez
24/11/2025,1.72,3.6,40.05,Benito Juarez
24/11/2025,2.06,3.74,40.57,Benito Juarez
24/11/2025,1.76,3.87,41.14,Benito Juarez
24/11/2025,1.88,3.97,41.71,Benito Juarez
24/11/2025,1.75,4.04,42.12,Benito Juarez
24/11/2025,2.11,4.14,43.01,Benito Juarez
24/11/2025,1.82,4.24,43.35,Benito Juarez
24/11/2025,1.62,4.34,43.66,Benito Juarez
24/11/2025,1.78,4.45,44.35,Benito Juarez
24/11/2025,1.74,4.54,44.74,Benito Juarez
24/11/2025,1.69,4.62,45.35,Benito Juarez
24/11/2025,1.95,4.68,45.69,Benito Juarez
24/11/2025,1.75,4.73,46.19,Benito Juarez
24/11/2025,1.75,4.71,46.99,Benito Juarez
24/11/2025,2.12,4.44,47.34,Benito Juarez
24/11/2025,1.84,3.97,48.23,Benito Juarez
24/11/2025,1.87,3.17,48.71,Benito Juarez
24/11/2025,1.86,2.63,49.06,Benito Juarez
24/11/2025,1.86,2.24,49.25,Benito Juarez
24/11/2025,1.8,1.97,50.49,Benito Juarez
24/11/2025,2.07,1.77,50.76,Benito Juarez
24/11/2025,1.77,2.35,51.08,Benito Juarez
24/11/2025,1.81,3.17,51.49,Benito Juarez
24/11/2025,1.8,3.98,51.95,Benito Juarez
24/11/2025,1.91,4.61,52.24,Benito Juarez
24/11/2025,1.61,5.08,52.83,Benito Juarez
24/11/2025,1.73,5.46,53.61,Benito Juarez
24/11/2025,1.65,5.76,54.06,Benito Juarez
24/11/2025,1.72,6.01,54.57,Benito Juarez
24/11/2025,1.46,6.18,54.77,Benito Juarez
24/11/2025,1.75,6.29,55.74,Benito Juarez
24/11/2025,1.99,6.36,55.80,Benito Juarez
24/11/2025,1.64,6.4,56.40,Benito Juarez
24/11/2025,1.7,6.47,56.62,Benito Juarez
24/11/2025,1.87,6.54,57.54,Benito Juarez
24/11/2025,1.72,6.61,57.76,Benito Juarez
24/11/2025,1.84,6.66,58.25,Benito Juarez
