fecha,magnitudVibracion,corriente,tiempo,operador
24/11/2025,1.74,0.61,1.30,Porfirio Diaz
24/11/2025,1.74,0.59,1.30,Porfirio Diaz
24/11/2025,1.73,0.58,1.95,Porfirio Diaz
24/11/2025,1.77,0.58,2.93,Porfirio Diaz
24/11/2025,1.74,0.56,3.35,Porfirio Diaz
24/11/2025,1.77,0.53,3.75,Porfirio Diaz
24/11/2025,1.74,0.51,4.17,Porfirio Diaz
24/11/2025,1.75,0.54,4.61,Porfirio Diaz
24/11/2025,1.74,0.56,5.26,Porfirio Diaz
24/11/2025,1.74,0.58,5.71,Porfirio Diaz
24/11/2025,1.74,0.57,6.11,Porfirio Diaz
24/11/2025,1.75,0.56,6.54,Porfirio Diaz
24/11/2025,1.74,0.58,7.15,Porfirio Diaz
24/11/2025,1.77,0.59,7.26,Porfirio Diaz
24/11/2025,1.74,0.6,8.60,Porfirio Diaz
24/11/2025,1.75,0.61,8.78,Porfirio Diaz
24/11/2025,1.74,0.62,8.78,Porfirio Diaz
24/11/2025,1.75,0.63,9.20,Porfirio Diaz
24/11/2025,1.75,0.63,9.73,Porfirio Diaz
24/11/2025,1.75,0.65,10.24,Porfirio Diaz
24/11/2025,1.75,0.67,10.78,Porfirio Diaz
24/11/2025,1.75,0.69,11.31,Porfirio Diaz
24/11/2025,1.74,0.71,11.72,Porfirio Diaz
24/11/2025,1.74,0.72,12.27,Porfirio Diaz
24/11/2025,1.75,0.73,12.72,Porfirio Diaz
24/11/2025,1.74,0.73,13.27,Porfirio Diaz
24/11/2025,1.75,0.73,14.02,Porfirio Diaz
24/11/2025,1.74,0.69,14.24,Porfirio Diaz
24/11/2025,1.77,0.66,14.90,Porfirio Diaz
24/11/2025,1.75,0.64,15.25,Porfirio Diaz
24/11/2025,1.75,0.63,15.76,Porfirio Diaz
24/11/2025,1.74,0.66,16.21,Porfirio Diaz
24/11/2025,1.74,0.67,16.75,Porfirio Diaz
24/11/2025,1.74,0.68,17.62,Porfirio Diaz
24/11/2025,1.77,0.68,17.88,Porfirio Diaz
24/11/2025,1.74,0.66,18.37,Porfirio Diaz
24/11/2025,1.74,0.65,18.83,Porfirio Diaz
24/11/2025,1.75,0.64,19.32,Porfirio Diaz
24/11/2025,1.75,0.63,20.14,Porfirio Diaz
24/11/2025,1.75,0.61,20.72,Porfirio Diaz
24/11/2025,1.75,0.59,20.91,Porfirio Diaz
24/11/2025,1.74,0.55,21.62,Porfirio Diaz
24/11/2025,1.77,0.53,21.93,Porfirio Diaz
24/11/2025,1.77,0.51,22.81,Porfirio Diaz
24/11/2025,1.74,0.52,22.81,Porfirio Diaz
24/11/2025,1.76,0.53,23.83,Porfirio Diaz
24/11/2025,1.74,0.53,24.75,Porfirio Diaz
24/11/2025,1.75,0.53,25.38,Porfirio Diaz
24/11/2025,1.76,0.55,26.18,Porfirio Diaz
24/11/2025,1.73,0.52,26.60,Porfirio Diaz
24/11/2025,1.77,0.5,27.22,Porfirio Diaz
24/11/2025,1.78,0.49,27.42,Porfirio Diaz
24/11/2025,1.72,0.5,28.13,Porfirio Diaz
24/11/2025,1.72,0.51,28.55,Porfirio Diaz
24/11/2025,1.8,0.52,29.05,Porfirio Diaz
24/11/2025,1.83,0.54,30.49,Porfirio Diaz
24/11/2025,1.67,0.57,30.56,Porfirio Diaz
24/11/2025,1.77,0.59,30.86,Porfirio Diaz
24/11/2025,1.81,0.6,31.20,Porfirio Diaz
24/11/2025,1.71,0.69,31.41,Porfirio Diaz
24/11/2025,1.67,0.79,32.24,Porfirio Diaz
24/11/2025,1.72,0.91,32.42,Porfirio Diaz
24/11/2025,1.78,1.04,32.82,Porfirio Diaz
24/11/2025,1.64,1.2,33.24,Porfirio Diaz
24/11/2025,1.68,1.38,33.76,Porfirio Diaz
24/11/2025,1.65,1.59,34.26,Porfirio Diaz
24/11/2025,1.65,1.83,34.80,Porfirio Diaz
24/11/2025,1.61,2.11,35.65,Porfirio Diaz
24/11/2025,1.68,3.28,35.86,Porfirio Diaz
