fecha,magnitud_vibracion,corriente,tiempo_s,operador,estado
4/12/2025,1.46,0.21,0.82,Ing Ricardo,En reposo
4/12/2025,1.46,0.22,1.23,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,1.64,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,2.05,Ing Ricardo,En reposo
4/12/2025,1.46,0.18,2.56,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,3.17,Ing Ricardo,En reposo
4/12/2025,1.45,0.2,3.58,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,4.20,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,4.62,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,5.12,Ing Ricardo,En reposo
4/12/2025,1.46,0.19,5.63,Ing Ricardo,En reposo
4/12/2025,1.45,0.19,6.14,Ing Ricardo,En reposo
4/12/2025,1.45,0.19,6.56,Ing Ricardo,En reposo
4/12/2025,1.46,0.22,7.27,Ing Ricardo,En reposo
4/12/2025,1.45,0.2,7.57,Ing Ricardo,En reposo
4/12/2025,1.45,0.21,8.09,Ing Ricardo,En reposo
4/12/2025,1.45,0.2,8.60,Ing Ricardo,En reposo
4/12/2025,1.45,0.19,9.11,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,9.62,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,10.14,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,10.56,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,11.16,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,11.57,Ing Ricardo,En reposo
4/12/2025,1.46,0.19,12.19,Ing Ricardo,En reposo
4/12/2025,1.46,0.19,12.61,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,13.11,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,13.62,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,14.25,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,14.56,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,15.16,Ing Ricardo,En reposo
4/12/2025,1.46,0.19,15.57,Ing Ricardo,En reposo
4/12/2025,1.46,0.2,16.08,Ing Ricardo,En reposo
4/12/2025,1.46,0.22,16.69,Ing Ricardo,En reposo
4/12/2025,1.46,0.21,17.10,Ing Ricardo,En reposo
