fecha,magnitudVibracion,corriente,tiempo,operador
24/11/2025,1.75,0.67,0.99,Benito Juarez
24/11/2025,1.74,0.67,1.24,Benito Juarez
24/11/2025,1.71,0.66,2.27,Benito Juarez
24/11/2025,1.74,0.66,2.42,Benito Juarez
24/11/2025,1.75,0.66,2.60,Benito Juarez
24/11/2025,1.74,0.64,3.40,Benito Juarez
24/11/2025,1.74,0.62,3.62,Benito Juarez
24/11/2025,1.75,0.59,4.12,Benito Juarez
24/11/2025,1.73,0.57,4.60,Benito Juarez
24/11/2025,1.74,0.57,5.13,Benito Juarez
24/11/2025,1.77,0.53,6.06,Benito Juarez
24/11/2025,1.77,0.51,6.48,Benito Juarez
24/11/2025,1.74,0.53,7.29,Benito Juarez
24/11/2025,1.74,0.54,7.59,Benito Juarez
24/11/2025,1.74,0.55,8.07,Benito Juarez
24/11/2025,1.75,0.57,8.44,Benito Juarez
24/11/2025,1.77,0.58,8.95,Benito Juarez
24/11/2025,1.74,0.59,9.64,Benito Juarez
24/11/2025,1.74,0.59,9.64,Benito Juarez
24/11/2025,1.77,0.6,10.36,Benito Juarez
24/11/2025,1.74,0.61,11.18,Benito Juarez
24/11/2025,1.74,0.62,11.58,Benito Juarez
24/11/2025,1.74,0.64,11.78,Benito Juarez
24/11/2025,1.74,0.65,12.87,Benito Juarez
24/11/2025,1.74,0.64,12.87,Benito Juarez
24/11/2025,1.77,0.63,13.65,Benito Juarez
24/11/2025,1.74,0.64,14.17,Benito Juarez
24/11/2025,1.74,0.64,14.45,Benito Juarez
24/11/2025,1.76,0.64,15.37,Benito Juarez
24/11/2025,1.72,0.63,15.92,Benito Juarez
24/11/2025,1.79,0.62,16.11,Benito Juarez
24/11/2025,1.78,0.62,16.40,Benito Juarez
24/11/2025,1.83,0.6,16.81,Benito Juarez
24/11/2025,1.74,0.58,17.49,Benito Juarez
24/11/2025,1.75,0.57,17.66,Benito Juarez
24/11/2025,1.76,0.56,18.07,Benito Juarez
24/11/2025,1.73,0.57,18.58,Benito Juarez
24/11/2025,1.84,0.73,19.07,Benito Juarez
24/11/2025,1.73,0.84,19.88,Benito Juarez
24/11/2025,1.82,0.95,22.25,Benito Juarez
24/11/2025,1.71,1.04,22.32,Benito Juarez
24/11/2025,1.83,1.21,23.68,Benito Juarez
24/11/2025,1.66,1.28,23.74,Benito Juarez
24/11/2025,1.51,1.45,25.51,Benito Juarez
24/11/2025,1.93,1.48,25.93,Benito Juarez
24/11/2025,1.56,1.5,26.05,Benito Juarez
24/11/2025,1.87,1.53,26.05,Benito Juarez
24/11/2025,1.93,1.55,26.65,Benito Juarez
24/11/2025,1.74,1.55,27.09,Benito Juarez
24/11/2025,1.76,1.55,27.70,Benito Juarez
24/11/2025,1.56,1.55,28.02,Benito Juarez
24/11/2025,2.02,1.54,28.38,Benito Juarez
24/11/2025,1.78,1.64,29.09,Benito Juarez
24/11/2025,1.89,1.65,29.71,Benito Juarez
24/11/2025,1.82,1.67,30.05,Benito Juarez
24/11/2025,1.75,1.71,30.56,Benito Juarez
24/11/2025,1.98,1.75,30.86,Benito Juarez
24/11/2025,1.83,1.79,31.41,Benito Juarez
24/11/2025,1.81,1.95,32.01,Benito Juarez
24/11/2025,1.63,2.25,32.58,Benito Juarez
24/11/2025,1.74,2.49,33.91,Benito Juarez
24/11/2025,1.78,2.68,34.34,Benito Juarez
24/11/2025,2.05,2.84,34.34,Benito Juarez
24/11/2025,1.58,2.97,34.91,Benito Juarez
24/11/2025,1.79,3.07,35.57,Benito Juarez
24/11/2025,1.99,3.16,35.64,Benito Juarez
24/11/2025,1.59,3.22,35.83,Benito Juarez
24/11/2025,1.88,3.26,36.35,Benito Juarez
24/11/2025,1.72,3.51,37.19,Benito Juarez
24/11/2025,1.89,3.82,37.28,Benito Juarez
24/11/2025,1.91,4.16,37.98,Benito Juarez
24/11/2025,1.73,4.39,38.30,Benito Juarez
24/11/2025,1.67,4.55,39.47,Benito Juarez
24/11/2025,1.95,4.67,39.47,Benito Juarez
24/11/2025,1.73,4.78,39.95,Benito Juarez
24/11/2025,1.88,4.85,40.67,Benito Juarez
24/11/2025,1.51,4.88,41.08,Benito Juarez
24/11/2025,1.78,4.89,41.80,Benito Juarez
24/11/2025,1.61,4.8,42.55,Benito Juarez
24/11/2025,2.02,4.54,42.82,Benito Juarez
24/11/2025,2.01,4.36,44.16,Benito Juarez
24/11/2025,1.79,4.25,44.52,Benito Juarez
24/11/2025,1.77,4.18,44.52,Benito Juarez
24/11/2025,1.73,4.12,45.39,Benito Juarez
24/11/2025,1.75,4.1,46.77,Benito Juarez
24/11/2025,1.74,4.1,47.17,Benito Juarez
24/11/2025,1.73,4.1,47.17,Benito Juarez
24/11/2025,1.74,3.89,47.17,Benito Juarez
24/11/2025,1.74,3.53,48.49,Benito Juarez
24/11/2025,1.75,2.83,48.55,Benito Juarez
24/11/2025,1.74,2.29,48.91,Benito Juarez
24/11/2025,1.74,1.67,51.34,Benito Juarez
24/11/2025,1.75,1.46,51.42,Benito Juarez
24/11/2025,1.75,1.2,51.93,Benito Juarez
24/11/2025,1.74,1.12,51.93,Benito Juarez
24/11/2025,1.75,1.04,52.19,Benito Juarez
24/11/2025,1.74,0.94,52.88,Benito Juarez
24/11/2025,1.74,0.87,53.30,Benito Juarez
24/11/2025,1.74,0.82,53.57,Benito Juarez
24/11/2025,1.74,0.77,53.76,Benito Juarez
24/11/2025,1.77,0.73,55.42,Benito Juarez
24/11/2025,1.77,0.71,55.42,Benito Juarez
24/11/2025,1.75,0.69,55.78,Benito Juarez
24/11/2025,1.77,0.68,56.23,Benito Juarez
